Location,Distance from Junction,Size of House,Number of Rooms,Distance from Metro,Furnished,Parking,Water & Electricity,Rent
Majestic,5346.609230755238,229,5,145.98761009740392,Furnished,No,Yes,18460.0
Silk Board,8587.61429838704,200,1,2663.796363217372,Furnished,Yes,Yes,29194.0
Electronic City,3258.813426157904,439,4,4363.991489495106,Furnished,Yes,No,30573.0
K.R Puram,9540.422650780858,391,2,610.0493692538023,Furnished,Yes,Yes,19028.0
Yelahanka,1218.7950178138362,380,4,4912.73100975561,Furnished,Yes,Yes,13473.0
Yelahanka,182.75069723506232,200,4,61.957319905845964,Furnished,Yes,No,20603.0
Electronic City,9041.353525781906,466,1,4430.600057315822,Furnished,No,Yes,25400.0
Majestic,686.4866614787223,254,2,1768.3628719748347,Furnished,Yes,Yes,28729.0
Electronic City,9918.891959474917,380,5,663.4529083888135,Semi-furnished,No,Yes,20788.0
Silk Board,9513.968619791061,281,4,786.7908762726755,Semi-furnished,Yes,Yes,26841.0
Electronic City,1370.2091003632067,403,5,3505.8935917713543,Furnished,Yes,Yes,24305.0
Yelahanka,5375.846256925658,200,2,4353.59838327972,Furnished,Yes,Yes,23232.0
Electronic City,1849.2029746714434,424,2,3205.3317690339395,Furnished,Yes,No,28224.0
Majestic,4281.551730301198,448,1,4643.6248568037645,Furnished,Yes,Yes,25614.0
K.R Puram,614.2512925983268,367,3,4212.393975284495,Not furnished,No,No,21294.0
Kengeri,2239.245877965895,596,1,45.15903470325211,Furnished,Yes,Yes,13676.0
Electronic City,3632.7279639889953,381,5,3347.1483221506737,Furnished,Yes,Yes,27534.0
Majestic,4386.475002460548,487,1,1523.1734435714627,Furnished,Yes,Yes,19461.0
Majestic,9774.962582088932,363,2,2272.5000586020506,Furnished,Yes,Yes,21224.0
K.R Puram,8078.656456839813,474,4,470.1537406711337,Furnished,Yes,Yes,30702.0
Yelahanka,7374.099443119462,200,3,1410.495809358252,Furnished,No,Yes,20153.0
Majestic,5370.413147419743,354,2,3163.4298371625373,Furnished,Yes,Yes,18241.0
Majestic,8399.977606043434,200,4,1091.9106512816202,Not furnished,Yes,Yes,27556.0
Majestic,3393.228356557111,371,5,3237.6833413559652,Furnished,Yes,Yes,30705.0
Majestic,7088.991127733161,407,5,4615.160853983361,Semi-furnished,Yes,Yes,34717.0
Silk Board,9937.839753781722,471,5,24.701525024786175,Semi-furnished,Yes,Yes,25440.0
Silk Board,3146.289089351988,423,1,3928.8535986492916,Semi-furnished,No,Yes,38369.0
Yelahanka,6740.1753488396735,299,5,3206.5944008159413,Furnished,Yes,No,23277.0
Electronic City,8443.148641523825,236,5,233.1638136689612,Furnished,Yes,Yes,16942.0
Majestic,9158.075833506722,200,1,3950.8356862261016,Furnished,Yes,No,27556.0
K.R Puram,7179.326909401018,360,4,1122.6051756856552,Not furnished,Yes,Yes,25903.0
Electronic City,2836.0792341713627,520,2,1329.1027036131243,Semi-furnished,Yes,No,20487.0
K.R Puram,3262.821515689465,366,3,467.5784123468668,Furnished,Yes,Yes,27539.0
Electronic City,207.5803212396421,337,5,2671.899076716297,Furnished,Yes,Yes,16107.0
Yelahanka,7608.859776715097,371,5,2491.1187013411336,Furnished,Yes,Yes,17866.0
Majestic,427.3960606195137,291,5,1735.872531681445,Furnished,Yes,No,32177.0
Majestic,8646.523546027456,379,1,843.7690388338654,Semi-furnished,Yes,Yes,24595.0
Kengeri,1186.6061447453878,289,1,4189.767772495329,Semi-furnished,Yes,Yes,24698.0
K.R Puram,1718.7651213592426,215,1,4381.892150338358,Furnished,Yes,Yes,28434.0
Electronic City,4765.264708322373,338,3,2702.8980535683604,Furnished,Yes,Yes,32274.0
Electronic City,7378.804151687424,335,2,1221.1266679968908,Furnished,Yes,Yes,27179.0
Silk Board,1390.0220519907768,631,5,480.55032849341984,Furnished,Yes,Yes,29661.0
Kengeri,4400.7107506649845,229,4,4342.720837457814,Semi-furnished,Yes,Yes,16538.0
Silk Board,4828.512744101048,326,5,480.26359794777153,Semi-furnished,Yes,Yes,19695.0
Silk Board,2122.8564166859132,311,5,65.90018874725656,Furnished,Yes,Yes,24668.0
Silk Board,1155.5837668063173,282,5,2346.9878866931936,Furnished,No,Yes,38625.0
K.R Puram,8364.209229856395,426,5,3656.3551098966714,Furnished,Yes,Yes,16091.0
K.R Puram,5024.656497627655,685,2,2287.685022385203,Semi-furnished,Yes,Yes,17702.0
Yelahanka,143.81235984152974,301,4,257.0530349326805,Furnished,Yes,Yes,22711.0
Yelahanka,8029.813013091039,427,1,3450.145567109114,Furnished,Yes,Yes,18178.0
Silk Board,9807.938054145849,200,4,3211.6631027892545,Furnished,Yes,Yes,23796.0
Kengeri,6059.261954142473,290,5,3407.6486556227746,Semi-furnished,Yes,Yes,11585.0
Electronic City,5037.083870840707,583,4,1056.0124567452472,Furnished,Yes,Yes,34321.0
K.R Puram,8784.158630449616,341,5,3978.4920457259955,Furnished,No,Yes,29354.0
Kengeri,9525.167896845986,425,4,2395.841058740667,Furnished,Yes,Yes,13047.0
Majestic,7545.369159024605,256,3,2681.7640529522014,Furnished,Yes,Yes,18382.0
K.R Puram,4454.529297342879,388,4,2729.1500482712454,Furnished,Yes,Yes,17855.0
K.R Puram,5922.213993314404,594,1,1434.0321853560051,Furnished,Yes,No,27594.0
Yelahanka,7009.353650179993,200,1,1250.6705216852115,Furnished,No,Yes,19021.0
Electronic City,1942.7357100180143,677,4,23.830652407682006,Furnished,Yes,Yes,26099.0
Electronic City,4472.01032216438,200,4,1983.0517102770018,Furnished,Yes,Yes,30300.0
Majestic,8298.21264717285,277,2,2425.5149196953275,Semi-furnished,Yes,Yes,30555.0
Majestic,6547.25348498443,224,4,3714.018728276493,Furnished,Yes,Yes,28792.0
K.R Puram,4112.040672118541,309,1,333.1348047214999,Semi-furnished,Yes,Yes,18722.0
Silk Board,6633.625340146814,222,3,4619.947061993556,Furnished,Yes,Yes,19595.0
Yelahanka,1182.2241207245986,211,1,1319.7923412352075,Furnished,Yes,Yes,21548.0
Yelahanka,4014.976105648763,200,2,1833.603450641239,Furnished,Yes,Yes,18916.0
K.R Puram,7931.2853796305635,446,4,241.81232797630904,Furnished,Yes,Yes,19297.0
Kengeri,2205.08787136648,314,3,3265.682054090617,Furnished,Yes,Yes,17403.0
Silk Board,1859.615075574177,275,1,3544.613986949334,Furnished,Yes,Yes,36694.0
K.R Puram,9508.186599164314,392,3,4643.956086448828,Furnished,Yes,Yes,29552.0
Silk Board,2098.976295862307,200,5,1684.145016576144,Semi-furnished,No,Yes,25737.0
Silk Board,2609.1857965016807,395,1,1286.8436493911672,Furnished,Yes,No,36948.0
Silk Board,9696.15938904338,335,5,3630.4325178543536,Furnished,Yes,Yes,39165.0
K.R Puram,7347.085702650256,340,3,3534.0044422146393,Furnished,No,Yes,23736.0
Yelahanka,6995.965330235282,427,4,4685.620289266934,Not furnished,Yes,Yes,23435.0
Yelahanka,8529.263838545812,596,4,1026.5931211664197,Furnished,Yes,Yes,28191.0
Silk Board,1158.2308223679427,398,4,3526.463113472676,Furnished,Yes,No,24968.0
Kengeri,7059.562365800071,320,5,334.3428859467712,Furnished,No,Yes,23270.0
Electronic City,5036.886093282389,200,4,2401.840533786093,Not furnished,Yes,Yes,16441.0
K.R Puram,8291.506402841398,200,2,596.9538863285418,Furnished,No,No,24764.0
Electronic City,5081.417186651943,369,1,3265.7299404723594,Not furnished,No,Yes,18442.0
Kengeri,6202.413542689122,200,1,3007.333808458429,Furnished,Yes,Yes,20288.0
K.R Puram,4777.421263995359,200,3,244.16466814864313,Furnished,Yes,Yes,22002.0
Silk Board,4781.589235558441,297,5,1598.0891129237807,Furnished,Yes,Yes,20200.0
Yelahanka,7679.699780618315,385,1,1975.1681613837634,Furnished,Yes,Yes,11459.0
Electronic City,6285.664006472832,461,5,1240.3013475648222,Furnished,Yes,Yes,34500.0
Majestic,6332.632016094104,509,3,193.35022009405068,Furnished,No,Yes,29487.0
Majestic,4502.824838315258,481,4,1594.1094805302941,Furnished,Yes,Yes,36518.0
Kengeri,5311.094963375276,485,3,3963.124507254143,Furnished,No,Yes,12774.0
Silk Board,7457.176662047873,200,2,1800.545442958213,Furnished,Yes,Yes,29161.0
Electronic City,8259.409191119183,327,4,1616.8487761717665,Furnished,Yes,No,33886.0
Silk Board,6965.614021440461,436,4,4708.765689557923,Furnished,Yes,Yes,22115.0
Electronic City,9240.729888456832,356,4,208.1535935725065,Furnished,Yes,Yes,17624.0
Kengeri,8203.24088147201,326,3,3836.440978209915,Furnished,No,No,15739.0
Kengeri,5618.637898095185,354,2,2415.4679915717497,Furnished,Yes,Yes,23332.0
Majestic,6714.060726437368,386,5,4722.312537552703,Semi-furnished,Yes,Yes,23665.0
Silk Board,9263.08276921196,338,3,1967.353720816959,Furnished,Yes,Yes,32219.0
K.R Puram,6191.680442430584,223,1,3540.211685027609,Furnished,Yes,Yes,15974.0
Majestic,8248.069479798307,200,1,349.6768219525742,Furnished,Yes,Yes,26753.0
Silk Board,6888.105035899871,319,3,4643.862127919405,Furnished,Yes,No,31199.0
Majestic,5519.363610604665,358,5,1722.7133339929628,Furnished,Yes,Yes,26382.0
K.R Puram,2418.3819541535313,356,1,2620.0228789214325,Not furnished,Yes,Yes,19331.0
Yelahanka,4259.975194684282,492,5,692.4080438148355,Furnished,Yes,Yes,22741.0
Yelahanka,9677.428248337157,519,4,4727.789356101204,Furnished,No,Yes,13015.0
Yelahanka,6577.6538327260005,334,3,3364.8520196494674,Furnished,Yes,Yes,21884.0
Yelahanka,5643.953803389896,335,4,269.73738418056115,Furnished,Yes,No,26038.0
Electronic City,9329.566255282274,435,1,776.0338958964169,Furnished,Yes,Yes,19907.0
Yelahanka,5865.117810374487,413,5,1999.1699882132486,Semi-furnished,Yes,Yes,26100.0
K.R Puram,5260.825184174029,283,4,1083.8550619213588,Semi-furnished,Yes,No,18263.0
Kengeri,7593.108551502052,448,1,1523.1278475816528,Furnished,No,Yes,10332.0
Kengeri,7126.6561898654445,328,2,4987.455804380883,Furnished,No,Yes,15673.0
Electronic City,1931.6000840843274,331,4,3293.243485749013,Furnished,Yes,Yes,19433.0
Yelahanka,4713.0827457412115,415,2,4611.088011572259,Furnished,Yes,Yes,25500.0
Yelahanka,4725.154428195852,304,2,2178.9918742716454,Semi-furnished,Yes,Yes,18862.0
Yelahanka,3782.245152433448,364,1,3551.4114224528394,Furnished,No,Yes,28798.0
Majestic,5172.934821522531,394,3,2298.4514608064433,Furnished,Yes,Yes,36221.0
Silk Board,4131.073977271442,472,5,1641.1227142751206,Semi-furnished,No,Yes,37791.0
Majestic,1993.4548947118315,462,1,2595.8657325052814,Furnished,No,Yes,21400.0
Silk Board,4123.664872746811,390,4,2136.5552089374332,Furnished,No,Yes,35865.0
Yelahanka,722.769475731766,200,5,4902.703243403468,Furnished,Yes,Yes,28993.0
Yelahanka,5757.858627744115,386,3,2480.832026082004,Furnished,Yes,Yes,25373.0
Majestic,8536.545489411119,409,1,4055.5656644939777,Furnished,Yes,Yes,31207.0
Majestic,7252.870843545553,440,3,3334.0973414792425,Furnished,Yes,Yes,24854.0
Silk Board,3603.9404005411125,206,4,2398.1361860871125,Furnished,Yes,Yes,29301.0
Kengeri,870.7120557730818,200,1,2370.7503623316807,Furnished,Yes,Yes,10819.0
Silk Board,2021.4939922527076,470,4,1709.4505853101882,Furnished,Yes,Yes,21794.0
Majestic,5454.903404948357,200,5,534.9090381602806,Semi-furnished,Yes,Yes,36312.0
K.R Puram,2070.5708338303284,533,5,3807.346644686584,Furnished,Yes,Yes,30244.0
Majestic,5439.731112849675,263,3,4590.473966002695,Semi-furnished,Yes,No,31873.0
K.R Puram,2315.9902476389893,200,3,1089.7742733005882,Furnished,Yes,No,19907.0
Electronic City,8489.238694760728,402,5,4628.367469645987,Furnished,Yes,Yes,26733.0
Majestic,3972.7147284045973,442,2,1161.521090291391,Furnished,No,No,37584.0
Electronic City,2455.5062594449105,433,5,2650.3955099188756,Furnished,Yes,Yes,31608.0
Kengeri,8123.261802470616,425,1,1718.1099806356892,Not furnished,Yes,No,22860.0
Silk Board,3428.3896480545072,243,4,572.5439295612911,Furnished,Yes,Yes,35496.0
K.R Puram,1114.8768783878193,200,5,264.19187477773664,Furnished,No,Yes,21022.0
Silk Board,5704.094914036416,291,5,1826.732660721137,Furnished,No,Yes,27454.0
Electronic City,5815.642044379887,200,4,236.71932274719975,Furnished,Yes,Yes,32058.0
K.R Puram,7146.956752357341,414,4,521.0321876892565,Semi-furnished,Yes,Yes,24608.0
Silk Board,2402.194332083856,481,1,711.4878939899211,Not furnished,Yes,Yes,33764.0
Majestic,4437.713390922451,375,4,9.578530894995275,Furnished,Yes,Yes,20277.0
Yelahanka,2823.6791904265624,349,3,766.2610792182672,Furnished,Yes,Yes,18780.0
Electronic City,809.5373611568813,303,5,2886.393401891873,Furnished,No,Yes,21984.0
Silk Board,8766.138270158915,497,4,4097.615610479683,Furnished,Yes,Yes,36774.0
Electronic City,7288.698044883412,200,1,967.1497970403492,Furnished,Yes,Yes,14656.0
Electronic City,3014.630594588007,200,4,404.3630192375014,Furnished,Yes,Yes,27988.0
K.R Puram,5993.729928719863,624,5,3647.570992179361,Furnished,Yes,Yes,28682.0
K.R Puram,2012.6378813447243,200,2,40.81355728608016,Furnished,Yes,Yes,29726.0
Yelahanka,8902.36621795771,429,4,3670.810510181906,Furnished,Yes,Yes,24024.0
Majestic,1149.063433619103,460,3,655.5861793344064,Furnished,No,Yes,19754.0
Electronic City,38.371455078008985,200,5,1141.4253105970174,Furnished,Yes,Yes,20377.0
Silk Board,5020.081977391821,200,1,600.3495544401477,Furnished,No,Yes,23385.0
Kengeri,5831.278234528693,539,5,1236.6907852569725,Furnished,No,Yes,22738.0
Electronic City,5789.653202958044,204,2,3990.8796923089744,Furnished,Yes,No,32590.0
Electronic City,545.119274378263,208,1,662.7205256253787,Furnished,Yes,No,15784.0
Yelahanka,3140.438069184325,271,2,4970.82816146767,Furnished,No,Yes,12653.0
Majestic,4991.989468413318,204,2,1635.4888804889595,Not furnished,Yes,No,32657.0
Kengeri,2165.791856272409,428,3,4609.840627541645,Furnished,Yes,Yes,21630.0
K.R Puram,8726.258854858963,200,4,950.1653991777331,Furnished,Yes,Yes,18299.0
K.R Puram,871.0928946143404,200,3,939.4875997220087,Semi-furnished,No,Yes,23003.0
Silk Board,4873.844416720429,523,3,2826.678415215369,Furnished,Yes,Yes,28222.0
Kengeri,6914.16057513152,200,3,253.00042452338965,Furnished,No,No,24334.0
K.R Puram,2617.5110013448243,237,1,4005.0144881779643,Furnished,No,Yes,23959.0
Silk Board,6242.407369975182,474,4,2198.0762533402694,Furnished,Yes,Yes,33711.0
Majestic,8293.851501423746,360,4,3495.9823667642727,Furnished,Yes,Yes,30029.0
Silk Board,1903.3697509504755,516,1,873.1610174800969,Furnished,Yes,No,31947.0
K.R Puram,9172.205918248628,476,3,3211.786753930952,Furnished,Yes,Yes,19566.0
Yelahanka,5535.58532662358,281,3,2970.353271758468,Furnished,Yes,Yes,25672.0
Yelahanka,2992.320043010606,503,2,3778.3062595897186,Furnished,Yes,Yes,15494.0
Yelahanka,4308.582753822708,375,2,1487.0064632548529,Furnished,No,No,24426.0
K.R Puram,3121.9188378638796,260,5,4665.827874857546,Furnished,Yes,Yes,29080.0
Yelahanka,7251.111599333161,393,2,4806.50534697866,Furnished,No,Yes,11751.0
Kengeri,7963.006634151322,200,4,4340.618056106774,Furnished,Yes,Yes,20162.0
Majestic,8329.373923186611,475,1,2860.168830802709,Furnished,No,Yes,28810.0
Silk Board,9857.682495857413,455,3,2101.4413533067527,Furnished,Yes,Yes,34454.0
Silk Board,7912.842924966835,368,5,289.96209284977425,Furnished,No,Yes,35366.0
K.R Puram,6013.840706885634,200,2,4736.139007304948,Furnished,Yes,Yes,23531.0
Yelahanka,3392.202983917838,523,5,4758.906718491834,Furnished,Yes,Yes,11960.0
Yelahanka,5445.954487107494,415,1,93.44227489841927,Semi-furnished,Yes,Yes,15888.0
Electronic City,410.68172790405424,346,1,1784.4377332036004,Semi-furnished,Yes,Yes,21516.0
Majestic,7448.250755299131,322,5,4400.181841291309,Furnished,Yes,Yes,35393.0
Kengeri,4459.555450921018,269,5,404.2601651980915,Furnished,No,Yes,22922.0
Silk Board,200.2322973218762,298,5,982.8318835510369,Furnished,Yes,No,25266.0
Electronic City,625.0694151041081,465,3,4893.386584097954,Furnished,Yes,Yes,29551.0
Electronic City,3874.6646382175663,272,4,4236.444060601742,Furnished,Yes,Yes,24293.0
K.R Puram,5834.215190184351,308,2,4560.317470418819,Furnished,No,Yes,21408.0
Silk Board,4642.039489521267,330,2,710.772093276586,Furnished,Yes,Yes,31128.0
K.R Puram,6192.043172921549,334,2,1056.579794834225,Not furnished,Yes,Yes,24398.0
Kengeri,4802.942587913558,257,5,3027.082921758745,Furnished,Yes,Yes,10949.0
Electronic City,6617.038454813468,324,5,2508.691105013496,Furnished,No,No,24343.0
Electronic City,2191.2606467080086,401,5,1492.5169527352443,Furnished,Yes,Yes,19546.0
Majestic,1128.431871836214,214,3,4419.231498686232,Furnished,Yes,Yes,25078.0
Kengeri,5964.3395462565995,325,3,4506.943077677865,Furnished,Yes,Yes,15436.0
Electronic City,4846.895169363074,639,3,1458.4200507330559,Not furnished,Yes,No,19470.0
Kengeri,268.67654044935296,340,3,778.765702959699,Semi-furnished,Yes,Yes,22895.0
Silk Board,3804.8188549303586,210,1,745.4621038515675,Furnished,Yes,Yes,25876.0
Yelahanka,1061.255854909955,200,3,2422.1259769596954,Furnished,Yes,Yes,12035.0
Electronic City,5313.568317526952,200,3,664.5924770067646,Furnished,Yes,Yes,18194.0
Majestic,3957.7767966043075,594,3,2366.7011104761264,Not furnished,Yes,No,34218.0
Silk Board,6131.519111030179,501,2,2309.670364299287,Not furnished,Yes,Yes,34544.0
Kengeri,8056.022187702383,200,2,4420.551066028285,Furnished,Yes,Yes,16465.0
K.R Puram,2996.686838414908,382,2,1481.052199000185,Furnished,Yes,No,27577.0
Silk Board,9621.021041650276,533,4,2803.262293204887,Furnished,Yes,Yes,35934.0
Electronic City,5356.345005875744,343,1,3717.499321420482,Furnished,Yes,Yes,24291.0
Kengeri,6182.90798754788,276,5,2979.573975249532,Semi-furnished,Yes,Yes,18637.0
Yelahanka,6806.72373225737,686,3,4770.339224900685,Furnished,Yes,Yes,19492.0
Silk Board,6667.315298575898,200,2,3011.38740249885,Semi-furnished,Yes,Yes,36003.0
Electronic City,5109.70743045062,744,1,4509.31089235056,Furnished,Yes,Yes,32947.0
Majestic,4287.642911146835,358,3,1225.2819462687148,Furnished,Yes,Yes,36295.0
K.R Puram,537.819641773779,543,4,2803.7638638971816,Furnished,No,Yes,25877.0
Kengeri,220.8584530117974,200,5,2716.529632833272,Furnished,No,No,13398.0
Silk Board,3579.6119453276465,241,3,4947.260550700417,Furnished,Yes,Yes,21716.0
Silk Board,3336.6089063369263,200,5,1022.5315669956175,Furnished,Yes,Yes,39640.0
Yelahanka,3876.9515483900673,334,3,704.9669918298873,Furnished,Yes,Yes,21675.0
Yelahanka,1383.6820088819002,396,4,3058.360388152102,Furnished,Yes,Yes,15736.0
Majestic,7381.6827053684365,510,1,1118.4607166603166,Furnished,No,Yes,19680.0
K.R Puram,8569.64414776239,200,5,3195.776728251449,Not furnished,Yes,No,21842.0
Majestic,9387.14635374035,373,5,4862.445442597755,Furnished,Yes,Yes,18703.0
Electronic City,4923.623035196259,484,1,4732.529976987288,Furnished,Yes,Yes,22087.0
Electronic City,7008.656991254286,512,5,1155.51512321999,Furnished,No,No,15763.0
Majestic,8555.511234358724,283,2,854.4817410607448,Furnished,Yes,Yes,21007.0
K.R Puram,4182.91111093486,285,1,2803.696435812729,Furnished,Yes,Yes,30239.0
Majestic,3094.127948704444,336,4,2933.8864411157506,Not furnished,Yes,No,20321.0
K.R Puram,9367.245558534902,377,3,3311.2503569032515,Furnished,Yes,Yes,28593.0
K.R Puram,5156.765510770731,545,3,3707.4546299340423,Furnished,Yes,No,26328.0
Kengeri,4972.53886590878,200,1,3004.786553360021,Furnished,Yes,Yes,11219.0
K.R Puram,1784.1609656349578,232,2,558.765018598314,Furnished,Yes,Yes,30854.0
Yelahanka,1081.5501457335674,200,4,3950.789852847239,Semi-furnished,Yes,Yes,21680.0
K.R Puram,8421.068624835116,414,3,397.5859226231299,Semi-furnished,Yes,Yes,28874.0
K.R Puram,6141.331761875181,515,3,99.9634310859604,Furnished,Yes,No,23294.0
K.R Puram,3258.245840194487,200,2,3848.2909830593826,Furnished,No,No,26757.0
Electronic City,1917.3621739026648,363,5,2741.787122178379,Furnished,Yes,Yes,27891.0
Yelahanka,5554.972801696314,504,1,3492.9570929326164,Furnished,Yes,Yes,21637.0
Yelahanka,5839.192892611353,467,2,1913.7366210379935,Furnished,Yes,Yes,24198.0
Majestic,2069.9360124505815,465,2,55.46246762246243,Furnished,Yes,Yes,24581.0
Kengeri,8514.05747891474,200,2,1655.0767456551268,Semi-furnished,Yes,Yes,12614.0
K.R Puram,842.6436615585109,465,2,3040.6761646157133,Furnished,Yes,Yes,23730.0
Silk Board,3560.930851664217,322,5,1128.5153523505487,Furnished,Yes,No,29945.0
Kengeri,6803.844137625221,510,4,3439.0216681646566,Furnished,Yes,No,13844.0
Kengeri,2741.203638192007,417,2,3972.005049459725,Furnished,Yes,Yes,16374.0
Yelahanka,8276.751947812718,227,2,2271.334991827796,Furnished,Yes,Yes,11607.0
Kengeri,7398.678266004035,391,1,4378.606490345837,Semi-furnished,Yes,Yes,15224.0
K.R Puram,7890.228445481342,472,3,4274.082822845589,Furnished,Yes,Yes,17585.0
K.R Puram,1191.0653587671627,274,5,4390.289763959168,Semi-furnished,Yes,No,16264.0
Electronic City,1405.4712799554293,369,2,3305.185163284175,Furnished,Yes,Yes,29027.0
K.R Puram,2864.737377445836,200,4,1523.9449983678994,Not furnished,Yes,No,19413.0
K.R Puram,5180.77165197561,432,4,2406.25641185786,Furnished,Yes,Yes,19316.0
Yelahanka,7480.160766994024,341,4,3552.5532476554567,Furnished,Yes,Yes,26944.0
K.R Puram,8365.308907609035,487,1,1052.818266312864,Furnished,Yes,No,29152.0
Electronic City,7043.353159571805,428,4,3694.217546272632,Not furnished,Yes,Yes,31449.0
Silk Board,9285.968815306383,288,1,2740.4430854652014,Furnished,No,No,27905.0
Yelahanka,7387.435096159303,223,5,480.08720141781646,Furnished,Yes,Yes,11718.0
Silk Board,3062.678870046147,200,4,2786.431635000836,Furnished,Yes,No,22719.0
Yelahanka,2650.812843385726,273,3,333.8806910624165,Furnished,Yes,Yes,25349.0
Majestic,6961.924503010899,483,2,71.53642523311021,Furnished,No,Yes,35896.0
Kengeri,1928.7056868961427,200,5,4448.1383495364225,Furnished,Yes,Yes,11896.0
Majestic,927.1481081026989,200,3,2449.5805580224733,Furnished,Yes,Yes,22451.0
K.R Puram,5322.228748561939,478,5,2716.448275201624,Furnished,No,No,30934.0
Silk Board,8216.415697789553,549,4,1399.6888581513344,Furnished,Yes,No,37533.0
K.R Puram,1013.7984246986354,202,5,2713.7235972874673,Not furnished,Yes,Yes,18083.0
Kengeri,7918.913237957292,200,5,844.3434607486638,Furnished,No,No,22004.0
Yelahanka,8115.720043515481,561,5,3728.2289869226256,Furnished,Yes,Yes,17746.0
Kengeri,4822.740000815435,331,1,4116.745802019428,Not furnished,No,Yes,17408.0
Electronic City,573.1031001048681,215,3,4279.378899596301,Furnished,Yes,Yes,17107.0
Kengeri,1745.898512471864,506,4,533.2635871396502,Furnished,No,Yes,14073.0
Electronic City,7074.262751619323,425,2,2788.7720017239644,Furnished,Yes,Yes,18605.0
Kengeri,7117.779449909495,460,4,4043.754849220164,Furnished,Yes,Yes,21535.0
Electronic City,8983.552751676654,223,4,641.0824410619415,Furnished,No,Yes,30357.0
Silk Board,5826.861465545829,406,1,497.6120408703832,Furnished,Yes,Yes,33976.0
K.R Puram,1241.073677137774,536,1,4084.7099933501045,Furnished,Yes,Yes,25969.0
K.R Puram,1214.1490550497215,446,5,3983.6801944561134,Furnished,Yes,Yes,27474.0
Majestic,7211.3235735682365,487,4,2243.4656848173395,Furnished,Yes,Yes,18720.0
K.R Puram,1837.8466510790115,560,3,548.5558443003241,Furnished,No,No,24362.0
Yelahanka,3283.8549961660533,414,1,2580.6157865847586,Furnished,Yes,Yes,16041.0
Kengeri,4872.120069219139,265,1,1974.016000023331,Not furnished,Yes,Yes,11698.0
Majestic,247.648775761512,481,3,2592.7371552200634,Not furnished,Yes,Yes,30934.0
Yelahanka,2488.1902701993185,200,1,2199.476010127913,Semi-furnished,No,No,11812.0
Yelahanka,4078.896085072801,316,3,2842.5720669544457,Not furnished,Yes,Yes,25068.0
Electronic City,2796.3631849320623,438,2,3635.6485925664692,Furnished,Yes,Yes,28011.0
K.R Puram,1363.7032746756583,200,3,3874.2995182542927,Semi-furnished,No,No,24795.0
Silk Board,7280.122577961974,387,2,3244.9109911892206,Furnished,Yes,Yes,22222.0
Silk Board,8131.476551679849,394,5,994.7030752319636,Furnished,Yes,Yes,21825.0
Majestic,2574.789761437248,200,5,1985.6151280255956,Furnished,Yes,Yes,19909.0
Silk Board,7744.194946063033,398,1,356.1201436786082,Semi-furnished,Yes,No,29874.0
Kengeri,3855.535644013138,378,3,2258.3686403758575,Furnished,Yes,Yes,11407.0
Silk Board,5066.857908540028,355,1,4851.697063624256,Furnished,Yes,No,36290.0
Majestic,8560.010748931529,528,3,3208.6535379550537,Semi-furnished,Yes,Yes,30862.0
Silk Board,7499.5368180240785,481,1,773.0625733174845,Furnished,Yes,Yes,35483.0
Kengeri,8051.168513161777,445,5,1342.888298877163,Furnished,Yes,Yes,11942.0
Electronic City,1368.4516658635682,200,5,322.86823151273404,Furnished,Yes,Yes,29175.0
Majestic,697.1942583372947,347,1,912.0694507598298,Furnished,Yes,No,26674.0
Electronic City,8934.047290879871,527,3,2439.208217388889,Furnished,Yes,Yes,17338.0
Electronic City,3878.3426957109436,317,4,1724.2819071431636,Furnished,Yes,Yes,33617.0
Electronic City,2878.7967806968086,583,3,1019.8115865438334,Semi-furnished,Yes,Yes,31847.0
Yelahanka,7246.962542618245,450,1,732.9920678142804,Furnished,No,Yes,24833.0
K.R Puram,8364.155965798567,606,3,3280.35558488603,Not furnished,Yes,Yes,23383.0
Yelahanka,8624.896218983009,200,2,2790.511884364256,Furnished,Yes,Yes,27101.0
K.R Puram,3159.971411252274,326,3,4213.201561074339,Furnished,Yes,No,30531.0
Electronic City,8522.123912016741,340,5,916.2644286387672,Furnished,Yes,Yes,29152.0
Majestic,409.3394437434539,440,5,4239.927299641231,Furnished,No,No,19421.0
K.R Puram,496.6149145971888,239,2,2889.5558627992805,Furnished,Yes,Yes,22657.0
Kengeri,6235.1919517415445,200,3,1331.115969898578,Semi-furnished,Yes,Yes,12424.0
Kengeri,631.0636911554624,406,4,1367.765702842556,Furnished,Yes,Yes,15165.0
Silk Board,3246.0916851016154,295,3,1951.901950719262,Furnished,Yes,No,22740.0
K.R Puram,6727.55986246924,279,5,2300.6360833339713,Furnished,Yes,Yes,29900.0
Majestic,3372.6689605422634,246,5,412.52542368441334,Furnished,Yes,Yes,19316.0
Yelahanka,1795.9978144009592,368,1,4209.99582833164,Furnished,Yes,Yes,18370.0
Electronic City,2813.5062185384163,200,5,607.7053466209703,Semi-furnished,Yes,Yes,27477.0
Silk Board,4575.753322504318,320,1,2417.299215149408,Furnished,Yes,Yes,32016.0
Kengeri,4753.858553554824,225,5,1914.8411659546089,Furnished,Yes,Yes,15491.0
Yelahanka,7830.0023134720195,258,5,2561.435421559714,Furnished,Yes,Yes,17014.0
Yelahanka,7501.532294315125,403,4,4437.4125853408605,Semi-furnished,Yes,No,11795.0
